用語,熱中症警戒アラート、暑さ指数(WBGT)の予想を基に、熱中症の危険性が極めて高い暑熱環境が予測される際に、気象庁が発表する,気象庁と環境省が連携して熱中症への注意喚起を行う
用語,暑さ指数、人体と外気との熱のやりとり（熱収支）に着目した指標,
用語,暑さ指数、人体の熱収支に与える影響の大きい ①湿度、 ②日射・輻射(ふくしゃ)など周辺の熱環境、 ③気温の３つを取り入れた指標,
用語,記録的短時間大雨情報、数年に一度程度しか発生しないような短時間の大雨を予報した時に発表される,観測または解析した場合
用語,真夏日、最高気温が35度以上の日のこと,30度
用語,猛暑日、最低気温が25度以上だった日のこと,最高気温が35度以上
用語,夏日、最低気温が25度以上で30度以下だった日,最高気温が25度以上 範囲は存在しない
用語,真冬日、最低気温が－10度以下であった日である,最高気温が0度
用語,冬日、最低気温が－5度であった日,最低気温が0度以下
用語,熱帯夜の定義は、一日のうち最低気温が20度以上であった日である,夕方から翌日の朝までの最低気温が25度以上
用語,不快指数、気温と湿度と風速からなる「蒸し暑さ」の指数,風速は含まれていないから体感必ずしも一致しない
用語,梅雨入り、梅雨明けの発表は、府県ごとに行われる,北海道を除く全国12ブロック
用語,小笠原諸島では太平洋高気圧の影響が大きいため、梅雨入り梅雨明けの発表は行っていない,行っていない。
用語,初冠雪、雪やあられなどが山頂付近に積もり、白く見えることを冠雪といい、その年の初めて観測した時,8月から次年度７月の範囲
用語,時々雨、雨が断続的に降り、その降っている時間が予報期間の1/3未満の場合,1/2未満
用語,一時雨、雨が断続的に降り、その降っている時間が予報期間の1/5未満の場合,1/4未満
竜巻,日本では、海岸沿いだけでなく内陸でも多く発生している,竜巻は海岸のみ
竜巻,日本では、台風と同様に８月９月に最も多く発生し、春や冬には発生しない,９月１０月に最も多く、１月から５月でも少ないがどの月でも発生する。
竜巻,日本では、日中よりも夜間に多く発生している,日中の11時から18時
竜巻,発生時の気象条件は、暖気寒気の移流等による不安定な気象要因が全体の約80％である,60％
竜巻,発生時の気象条件は、低気圧や台風・熱帯低気圧もある。,
竜巻,突風関連指数は、観測された上空の風や気温などの分布から、竜巻などの激しい突風の発生に関連深い指数,数値予報で予測された値から求める
竜巻,突風危険指数は、突風関連指数と気象レーダーの観測データから、1時間以内における突風発生の可能性を推定する指数,今の時刻（気象レーダーの観測時刻）
海氷,海氷は海水面に比べ太陽光の反射率が大きいため、海氷が拡がっていると、地球が太陽のエネルギーを吸収して昇温する割合が小さくなる。,
海氷,海氷が最も広がる季節は12月である,11月
海氷,太陽光の反射率は海水面に対して、10倍である,4～8倍
ダウンバースト・ガストフロント,竜巻同様に、沿岸部に集中して発生している。,わけではない
メソアンサンブル予報,降水予想では、各メンバーの予想精度はコントロールランに優る,劣る
メソアンサンブル予報,降水に対するシナリオ予測では、ある予測時間において精度が高いメンバーの予測はその後も精度が高い,いえない
メソアンサンブル予報,アンサンブル平均の精度は、コントロールランに劣る,いえない
赤外画像,地表面から放射される赤外線を観測した画像である,雲、地表面、大気から放射
赤外画像,放射される赤外線の強さは雲の高度により変化する,温度
赤外画像,温度の高い雲をより白く表現している。,低い
赤外画像,ごく低い雲や霧は、高度が低いため地表面や海面とほとんど同じ温度で灰色や黒色で表示される,温度が高い
赤外画像,低い高度の雲は水蒸気が多いため地表面や海面と区別がはっきりしている,温度が高いから区別できない
赤外画像,夏の夕立や集中豪雨をもたらす積乱雲のような雲は厚いため白く表示される。,雲頂が高いため温度が低く、白く表示される。
赤外画像,晴れた日にはるか上空に薄く現れる巻雲のような雲は表示しない。,白く表示される。
赤外画像,雲の雲頂高度によって温度が異なり、放射される赤外線の周波数が異なる,強度が異なる。
赤外画像,雲頂の温度によって、雲の厚さを推定することができる,雲頂高度を推定することができる。
水蒸気画像,地面と海洋からの赤外放射を観測した画像である,大気中の水蒸気と雲
水蒸気画像,赤外放射（5.0μm帯）を観測した画像である,6.2
水蒸気画像,赤外放射帯は、大気中の水蒸気によく吸収され、放射するこない,吸収すると同時に放射が行われる。
水蒸気画像,対流圏の中・下層の水蒸気を観測している,中上層
水蒸気画像,雲が無い領域からは放射されないか観測されない。,雲がなところからでもごくわずかの水蒸気からの放射を観測できる。
水蒸気画像,暗域ほど赤外線温度が高く水蒸気量が少ない,白域 温度は関係ない？
雲頂強調画像,日中・夜間に関わらず赤外画像を用いている。,日中 可視画像 夜間：赤外画像
雲頂強調画像,赤味がかった領域は特に雲頂高度が低い領域である,高い
雲頂強調画像,特に日中の可視画像では、積乱雲の雲頂は平である,影により、ぼこぼこした形状が見える
雲頂強調画像,可視光・赤外画像と同様に10分ごとに表示される,2.5分
衛星 カラー合成画像,ひまわりの可視の4バンドを合成した画像,3バンド(青 緑 赤)
衛星 カラー合成画像,雲頂強調画像と同様に2.5分ごとに表示される,10分
ウィンドプロファイラ,地上から上空に向けて電波を発射し、大気中の風の乱れなどによって散乱され戻ってくる電波を受信・処理することで、上空の圧力を測定します,風向風速
ウィンドプロファイラ,地上に戻ってきた電波の強度の変化から大気の動きを観測する,周波数の変化
ウィンドプロファイラ,観測では上空の4方向に向けて電波を発射している,5方向（東西南北上）
ウィンドプロファイラ,5分間隔で観測している,10分
ウィンドプロファイラ,季節や天気などの気象条件によって変わるが、最大で20キロ程度まで観測することができる,12キロ
ウィンドプロファイラ,雨が降っている場合でも、風向風速を観測している,雨粒の動きを観測している。
ウィンドプロファイラ,雨が降っている時の鉛直方向の観測データは、雨粒によって引きずられた大気の速度である,雨粒の下降速度
ウィンドプロファイラ,風速は36方位 風速は0.5m/s単位で表示される,16方位 1m/s
ウィンドプロファイラ,全国34か所で観測している,33か所
ウィンドプロファイラ,台風の通過や台風の位置や構造を把握するこ、風速が速すぎてできない,できる
ウィンドプロファイラ,大気が湿潤しているとデータが得にくい,乾燥してると得られない
ウィンドプロファイラ,データが表示されていないところは必ず大気が乾燥している,品質管理によって正しい風ではないと判断される場合がある。
地上観測,全国約５０か所にある気象台・測候所で行われる。,約60か所
地上観測装置,気圧、気温、湿度、風向、風速、降水量、地上気象観測を行う装置である,積雪の深さ、日照時間が抜けてる
地上観測装置,全ての観測器は、露場や庁舎屋上に設置される。,気圧計は観測屋内。
地上観測装置,露場には、地面からの熱を避けるためにコンクリートに覆われている,芝生が植えられている
地上観測装置,周囲の環境の変化を素早くとらえるために、人工物からの影響を受ける場所い設置される,周囲の人工物の影響を受けないよう配慮した場所に設置
観測,温度計は日射の影響も含めて測定するために、断熱材の無い暴露で測定される,断熱材を入れた二重の円筒
観測,温度計は円筒内を下向きに通風させている,上向き
観測,温度計は地面で反射した日射が直接当たるようにしている。,遮蔽板もついている
目視観測通報を自動化,視程計や電気式温度計といった、観測露場などに設置した地上気象観測装置による観測結果だけを用いて天気や大気現象を自動で判別している。,気象衛星から得られる情報も利用
目視観測通報を自動化,晴／曇の判別は、地上観測データのみで判定を行う。,気象衛星観測による雲の有無等
目視観測通報を自動化,晴／曇の判別は、日照時間の観測による前2時間日照率に基づいている,前1時間
目視観測通報を自動化,夜間の日照時間を観測していない時間帯は、判定しない。,気象衛星観測におる雲の有無情報のみで判定
目視観測通報を自動化,日照時間を観測していない時間帯に気象衛星からの情報が得られない場合は目視判定する。,欠測となる
目視観測通報を自動化,気温および湿度の観測値から雨／みぞれ／雪を判別される。,感雨器により降水現象を観測した際のみ。
目視観測通報を自動化,降水現象が観測されない場合や、気温、湿度の観測が欠測となった場合は、降水種別は判別される。,されない
目視観測通報を自動化,雷の判別は、気象台を中心とした半径20kmの範囲を対象としている,４０ｋｍ
目視観測通報を自動化,雷の判別は、LIDENによる対地雷及び雲間雷の観測結果からのみ判定する,気象レーダー観測による対流セルの情報を組み合わせて雷を自動で判別
目視観測通報を自動化,雷の判別は、雷監視システムや気象レーダーの観測が欠測となった場合はどちらかの結果から判定する,雷は判別されない。
地域気象観測システム,気圧を計測する。,していない
地域気象観測システム,接地間隔は15kmである,17km
地域気象観測システム,風向・風速 気温 日照時間を観測ている施設の設置間隔は30kmである,21km
地域気象観測システム,降水量を0.1mm単位で表示している,0.5mm
地域気象観測システム,降水量として、雪やあられ等を判別している,していない 溶かして水にして観測
地域気象観測システム,風向を32方位で表す,16方位 1m/s
地域気象観測システム,風速を0.5m/s単位であらわす,0.1
地域気象観測システム,気温を0.5度であらわす,0.1
地域気象観測システム,積雪を0.5cm単位であらわす,1cm単位
地域気象観測システム,最大瞬間風速は計測しない,風速を計測している施設では、計測表示される。
地域気象観測システム,アメダスと呼ばれる。,
地域気象観測システム,アメダス観測所においては、おおむね50m^2以上の面積を確保している,70m^2以上 8.5m×8.5m
地域気象観測システム,アメダス観測所の敷地は日射の照り返し、雨粒の跳ね返りも観測するためにコンクリートで覆われている,芝生が植えられている
地域気象観測システム,アメダス観測所の気象測器の設置部分の芝生の面積は40m^2以上である,30平方メートル
地域気象観測システム,アメダス観測所の敷地に人工芝を用いるこできない,できる
気象レーダー,発射する電波の種類は？,
気象レーダー,二十偏波気象ドップラーレーダーは雨と雪の判定ができない,できる
気象レーダー,二十偏波気象ドップラーレーダーは雨と雹の判定ができない,できる
気象レーダー,二十偏波気象ドップラーレーダーは反射波の強度から雨の強さを推定する,位相の差
気象レーダー,二十偏波気象ドップラーレーダーは反射波の偏波の振幅の比から雨の強さを推定する,降水粒子の形を推定
気象レーダー,異常伝播は、気温の水平傾度が大きい場合に発生する,鉛直方向
気象レーダー,異常伝播は、気温が距離とともに急増するなど屈折率が距離方向に大きく変化する場合に発生します,鉛直方向
気象レーダー,異常伝播は、海上は起伏が無いため起こりにくい,起伏が無いために、異常伝播の原因となる大気構造を安定して形成しやすい
気象レーダー,異常伝播は、低気圧の上昇気流や、昼間の対流の時に起こる,高気圧内の下降気流や夜間の放射冷却 海陸風による温度の異なる空気のいるときに起こる
気象レーダー,異常伝播は、品質管理によって完全に取り除くことができる,できない
気象レーダー,地形のように動かないものが原因のグランドクラッタは取り除くことができない,できる
気象レーダー,風で揺れる樹木や大型の風車の羽やスキー場のリフトなどのように動くものが原因のグランドクラッタは、データの品質管理で取り除くことができる,完全に取り除くこできない
気象レーダー,異常伝播によるエコー自体が非常に弱い場合は、データ品質管理により取り除くことができる,できない
気象レーダー,シークラッタもデータの品質管理において完全には取り除くこできる,できない
ラジオゾンデ,全ての気象官署から観測されている,全国16か所
ラジオゾンデ,観測高度は中間圏に達する,30km 成層圏
ラジオゾンデ,風向風速計を取り付けている,GPS信号を利用している。
大雨特別警報,基準は全国統一されている,されていない 基本的に市区町村で歴史を網羅的に調査
大雨特別警報,10年に一度程度を基準としている,数十年に1度
大雨特別警報,6時間降水量及び流域雨量指数において、10年に一度以上となった1km格子が5以上まとまって出現,48時間雨量 土壌 50年 5km 50格子
大雨特別警報,1時間降水量及び表面雨量指数において、10年に1度となった1km格子が共に1格子以上まとまって出現,3時間雨量 土壌 50年 5km 10格子
大雪特別警報,地方程度の広がりをもって10年に一度の積雪深となり、かつ、その後も注意報級の降雪が丸二日以上続く,府県程度 50年 警報級 丸一日
暴風 高潮 波浪 特別警報,室戸台風級(中心気圧950hPa以下または最大風速50m/s以上)の台風や同程度の熱帯低気圧が来襲する場合。,伊勢湾台風 930hPa 50m/s
暴風 高潮 波浪 特別警報,沖縄地方奄美地方及び小笠原諸島につついては、中心気圧940hPa以下または最大風速60m/s以上,910hPa 60m/s
暴風 高潮 波浪 特別警報,台風については、台風の大きさ又は瞬間最大風速を保ったまま、中心が接近通過すると予想される地域（予報円がかかる地域）に発表する,中心気圧と最大風速
土壌雨量指数,降った雨が土壌中に水分量としてどれだけ溜まっているかをタンクモデルを用いて数値化したもの,
土壌雨量指数,絶対的な土砂災害危険度を示した指標である,相対的な
土壌雨量指数,個々の傾斜地における植生、地質、風化等を考慮し、地域ごとの特性に考慮したパラメータを用いている,全国一律のパラメータ
土壌雨量指数,深層崩壊や大規模な地滑りなどにつながるような地中深い状況も対象としている。,していない
土壌雨量指数,雪が積雪として地表に蓄えられ、地中にしみこむ過程は考慮されている。,雨・雪に関わらずタンクへ入る。
大雨警報（土砂災害）の危険度分布,地図上で5km四方の領域ごとに4段階に色分けして示す。30分ごとに更新される。,1km 5段階 10分
大雨警報（土砂災害）の危険度分布,表面雨量指数の3時間先までの予測値を用いて危険度を示す,土壌 2時間
土砂災害警戒情報,表面雨量指数と2時間積算雨量の組み合わせで設定されている,土壌雨量指数 1時間
土砂災害警戒情報,知事の避難勧告の発令判断や住民の自主避難の判断を支援する,市町村長
土砂災害警戒情報,土砂災害がすでに発生しているという情報,すでに発生していてもおかしくない
土砂災害警戒情報,警報などが発表されていない状況で、土砂災害がいつ発生してもおかしくない状況を示す,大雨警報（土砂災害）が発表されている状況
土砂災害警戒情報,気象庁が発表する。,都道府県と気象庁が共同で
早期注意情報(警報級の可能性),「中」は注意報が発令される見込みを表している,警報についてのみ
早期注意情報(警報級の可能性),警報級の現象が7日先までに予想されているときには、その可能性を発表している,5日先
早期注意情報(警報級の可能性),翌日までは市町村単位で発表される,一次細分区域
早期注意情報(警報級の可能性),2日先からは、地域単位で発表される,府県予報区
早期注意情報(警報級の可能性),翌日までは台風・低気圧・前線などの大規模な現象に伴う大雨等までが対象です。,積乱雲や線状降水帯などの小規模な現象に伴う大雨等から、台風・低気圧・前線などの大規模な現象に伴う大雨等までが対象
早期注意情報(警報級の可能性),週間天気予報に合わせて発表される,"翌日まで 天気予報に合わせて(5,11,17) 二日先から週間天気予報に合わせて(11,17時) "
大雨警報（浸水害）の危険度分布,2時間先までの流域雨量指数を用いている,1時間先 表面雨量指数
表面雨量指数,降った雪が積雪として地表に蓄えられる過程やこれが融けて地表面に溜まったり地中に浸み込む過程は考慮されている。,降雪時・融雪時は浸水害リスクの高まりを正確に表現できていない場合があります。
表面雨量指数,値が大きいほど浸水害リスクが高まることを示す絶対的な指標である。,相対的な
表面雨量指数,浸水害発生に深く関係する下水道や排水ポンプ等のインフラの整備状況の違いは反映されていない。,一定程度反映することができる。
洪水警報の危険度分布,2時間先までの雨量予測を用いた浸水雨量指数の予測値が洪水警報等の基準に到達したかどうかを地図上に4段階で色分け表示,3時間 5段階
洪水警報の危険度分布,5kmメッシュで計算し、15km以上の河川に限定して計算を行っている。,1km 全ての小河川も計算
流域雨量指数,タンクモデルだけを用いて算出されている,運動方程式等も用いている。
流域雨量指数,降った雪が積雪として地表に蓄えられる過程やこれが融けて地表面や地中を通って河川に流れ出す過程は考慮している,してない
流域雨量指数,流域雨量指数そのものは、値が大きいほど洪水災害リスクが高まることを示す絶対的な指標である,相対的な
流域雨量指数,基準値は、過去に洪水災害が発生していない河川については、安全であると考えて基準は存在しない,30年に一度超えるかどうかを洪水警報 50年に一度を、「洪水警報の基準を大きく超過した基準」とした
洪水警報の基準値,流域雨量指数からのみ判断される。,流域雨量指数の計算では考慮されていない要素（貯留施設等の影響）も基準値には一定程度反映されています
記録的短時間大雨情報,数年に一度程度しか発生しないような短時間の大雨を予報した場合に発表される,観測 したり 解析（レーダー+雨量計＝解析雨量）したら発表
記録的短時間大雨情報,基準は、数年に一度程度である,一時間雨量歴代一位や二位
記録的短時間大雨情報,市町村ごとに基準が決まっている,府県予報区ごと
記録的短時間大雨情報,府県ごとに発表される,市町村長
台風,北から寒気の影響が加わると、「熱帯低気圧」と変わる,温帯 前線を伴う
台風,年間40個発生している,26個
台風,台風の寿命は、平均7日,5.3日
台風,最長寿命は30日  長寿台風は秋に多く、不規則な経路をとる傾向,19.25日  夏
台風,気象庁では毎年4月１日以後、最も早く発生した台風を第１号としている,1月
台風,一度発生した台風が衰えて「熱帯低気圧」になった後で再び発達して台風になった場合は新たに番号をつける,同じ番号をつける
台風,名前は、各国委員会が持ち回りでつける,発生順にあらかじめ用意された140個のアジア名（下の表のリスト）を順番に用いて、その後再び「ダムレイ」に戻ります。
台風,台風のアジア名は繰り返して使用され続ける。,台風のアジア名は繰り返して使用されますが、大きな災害をもたらした台風などは、台風委員会の加盟国・地域からの要請を受けて、そのアジア名を以後の台風に使用しないように変更するこ
台風,吸い上げ効果は、1hPa低ければ海面は1mm上昇する,1cm
台風,高いうねりは数千キロメートルも離れた場所で観測されるこない,ある
用語,土用波、春から夏にかけて太平洋に面した海岸に押し寄せる高い波（うねり）,夏から秋
用語,有義波高は、ある点を連続的に通過する波を観測したとき、波高をを平均した値,ある点を連続的に通過する波を観測したとき、波高を高い順に並べ直して全体の１／３までの波の高さを平均した値
台風,台風の中心は最も風速が遅い領域の中心である,もっとも低い地点    地形等の効果によりジャンプする
台風,本州四国九州沖縄の各島の海岸に至ることを上陸という,沖縄含まず
台風,接近、北海道、本州、四国、九州、沖縄のいずれかの気象官署等から200 km以内,沖縄含まず 300km
竜巻注意情報,竜巻注意情報は、竜巻による激しい突風に対して注意を呼びかける情報,竜巻だけでなく、ダウンバーストなども含む突風
竜巻注意情報,発生確度は3段階である,2段階
竜巻注意情報,竜巻発生確度ナウキャストで発生確度1が現れた地域に発表している,発生確度2
竜巻注意情報,目撃情報だけでは発表されない。,目撃情報が得られて竜巻等が発生するおそれが高まったと判断した場合にも発表
竜巻注意情報,有効期間は2時間である,1時間
竜巻注意情報,単独で発表される。,雷注意情報を捕捉する情報として発表される。
竜巻発生確度ナウキャスト,10km 実況と1時間先までの予測を提供しており、10分ごとに更新しています。,
降水ナウキャスト,10分間隔で発表され、1時間先までの10分毎の降水の強さを5km四方の細かさで予報します。,5分間隔で発表され、1時間先までの5分毎の降水の強さを1km四方の細かさで予報します。
降水ナウキャスト,予測を行う時点で求めた降水域の移動の状態がその先では全く変化しないと過程している,してない
降水ナウキャスト,降水の強さに発達・衰弱の傾向を加味するため、新たな降水域も予測される。,できない
降水ナウキャスト,降水の強さに発達・衰弱の傾向を加味するため、地形の影響は考慮されない。,してる
降水短時間予報,降水短時間予報は、長時間先まで全く同じ手法で予測する,降水短時間予報は、6時間先までと7時間から15時間先までとで発表間隔や予測手法が異なりる。
降水短時間予報,後半の予測には局地モデル（LFM）だけ用いる,メソモデルも用いる。
降水短時間予報,後半の予測の解像度と頻度は5km 30分である,5km 1時間
解析雨量,気象庁・国土交通省が保有する気象レーダーの観測データから解析される1時間の降水雨量を5km四方の細かさで解析したもの,気象庁 国土交通省 地方自治体が保有する全国の雨量計も使って、1km
解析雨量,解析雨量は60分ごとに、速報版は30分ごとに作成される,30分 10分
解析雨量,アメダスや他機関の雨量計をレーダーによる観測で補正して正確な雨量分布を得る,レーダーによる観測をアメダスや他機関の雨量計による観測で補正して、面的に隙間のないより正確な雨量分布を得る
解析雨量,土壌雨量指数、表面雨量指数、流域雨量指数の算出には利用されない,利用される。
高解像度降水ナウキャスト,アメダス等の雨量計を利用して降水予報域を補正している。,してない 気象レーダーのみ
高解像度降水ナウキャスト,解像度は500mである,250m
高解像度降水ナウキャスト,高層観測データを用いている,ウィンドプロファイラやラジオゾンデも利用
高解像度降水ナウキャスト,降水部の内部を平面的に解析して予測する。,内部を立体的に解析している。
降水ナウキャスト,気象庁のレーダーのほか国土交通省レーダ雨量計を利用し、さらに雨量計や地上高層観測の結果等を用いて地上降水に近くなるように解析を行って予測の初期値を作成している,
高解像度降水ナウキャスト,気象庁のレーダーの観測結果を雨量計で補正した値を予測の初期値としている,
高解像度降水ナウキャスト,予測前半では3次元的に降水分布を追跡する手法で、予測後半にかけて気温や湿度等の分布に基づいて雨粒の発生や落下等を計算する対流予測モデルを用いた予測に徐々に移行していきます。,
降水ナウキャスト,積乱雲の発生予測にも取り組んでいます。 地表付近の風、気温、及び水蒸気量から積乱雲の発生を推定する手法と、微弱なレーダーエコーの位置と動きを検出して、微弱なエコーが交差するときに積乱雲の発生を予測する手法を用いて、発生位置を推定し、対流予測モデルを使って降水量を予測します。,高解像度ナウキャスト
解析積雪深・解析降雪量,積雪の深さと降雪量の実況を30分ごとに約1km四方の細かさで推定するものです,1時間 5km
解析積雪深,解析雨量や局地数値予報モデル（MSM）などの降水量、気温日射量などを、タンクモデルに与えて積雪の深さを計算したあと、アメダスの積雪系の観測地で補正する。,LFM 積雪変質モデル
解析積雪深・解析降雪量,1km四方メッシュの中心点での値である,5km四方の平均的な値
解析積雪深・解析降雪量,個別地点における観測地と必ず一致する。,しない
解析積雪深・解析降雪量,地上の気温が0度の時は雪雨の判別が難しいため、精度が低下する。,1度～３度
雷,雷雲の背丈は冬に8km 夏に３ｋｍである,4km 7km
雷,北陸地方では、夏に発生しやすい,冬
雷,内陸部では冬に発生しやすい,夏
雷監視システム,雷より発する光を受信して、その位置発生時刻などの情報を作成する,雷より発生する電波
雷,対地放電も雲放電も発する電磁波に違いはない,特徴が異なる
雷監視システム,検知局は全国に60か所ある,30か所
雷監視システム,受信する電磁波は到達距離が短いため精度の高い観測が可能,到達距離が長いため、日本列島沿岸から遠く離れた領域も観測可能
雷,月別に集計すると、雷が検知されるのは9月が最も多い,8月
雷,対地放電と雲放電の比率は、秋は対地放電１に対して雲放電が５程度であるが、夏は1:1となる,冬は対地放電と雲放電の比率はほぼ同じで、1：1程度ですが、夏は対地放電1に対して雲放電が5程度と雲放電の割合が大きくなっています。
雷,検知数は、夏は明け方から午前中にかけて明瞭なピークがある,夏は午後から夕方
雷,検知数は、冬は、午後から夕方に明瞭なピークがある,冬はフラット
雷,日本海沿岸で発生する雷は、放電数は多いものの一回当たりの電気量は少ない,放電の数が少ないものの、一回あたりの雷の電気量が多く
